timestamp,scan_index,absolute_frequency_mhz,offset_frequency_mhz,start_frequency_mhz,end_frequency_mhz,bandwidth_khz,bandwidth_bins,avg_power_db,peak_power_db
1777949444.974904,1,100.32078275680541,0.3207827568054199,100.2817169189453,100.29100036621094,35.1837158203125,31,67.32203016475981,69.79507308565661
1777949445.1583931,2,99.904638671875,-0.095361328125,99.90386047363282,99.90538024902344,1.519775390625,4,67.57718141960189,69.12730996528533
1777949445.1583931,2,100.32055702209473,0.3205570220947266,100.28958129882812,100.29104614257812,21.2127685546875,5,66.98454139329688,69.43347421163743
1777949445.3227232,3,100.31517715454102,0.3151771545410156,100.30397338867188,100.30499877929688,5.23681640625,3,67.09546273650831,68.33535114430985
1777949445.4879858,4,99.90528411865235,-0.09471588134765624,99.89692993164063,99.89893493652343,6.866455078125,5,67.43002426788996,68.6236956346975
1777949445.4879858,4,100.30914497375488,0.3091449737548828,100.2892333984375,100.2923828125,8.8714599609375,9,66.95660383108637,68.04638032932306
1777949445.6590312,5,99.911083984375,-0.088916015625,99.90989379882812,99.91199951171875,2.105712890625,6,67.08211672796386,68.54657226646228
1777949445.6590312,5,100.32248678207398,0.32248678207397463,100.29676818847656,100.298095703125,15.78369140625,3,67.77852852989353,70.46089878185867
1777949445.82432,6,99.89781799316407,-0.1021820068359375,99.89725036621094,99.89846801757812,1.2176513671875,3,66.726608340361,67.15137588271539
1777949445.82432,6,100.32107858657837,0.3210785865783692,100.28760375976563,100.28942565917968,18.072509765625,6,66.89660718090367,69.64937986294385
1777949445.984597,7,100.31940803527831,0.3194080352783203,100.28569030761719,100.29390258789063,36.5386962890625,24,67.17180419377883,70.72356545225996
1777949446.136131,8,99.8929428100586,-0.10705718994140626,99.89068603515625,99.89210510253906,2.60009765625,4,66.6979080735896,67.53271656904558
1777949446.136131,8,100.32434158325195,0.3243415832519531,100.28561706542969,100.31866760253907,39.1937255859375,169,67.32554606781281,70.46143098841969
1777949446.2924092,9,100.31703853607178,0.31703853607177734,100.28800659179687,100.29071655273438,21.09375,10,67.12444832621135,70.20055214536919
1777949446.4693382,10,99.89652709960937,-0.103472900390625,99.89600524902343,99.89708557128907,1.080322265625,3,66.77768976530524,67.31519720289319
1777949446.4693382,10,100.32568440437316,0.3256844043731689,100.28175354003906,100.28443603515625,25.872802734375,6,66.76453449071678,69.98281401132563
1777950076.804766,1,99.86407165527343,-0.1359283447265625,99.86125183105469,99.86290893554687,5.145263671875,5,66.83635173263477,67.86241821377114
1777950076.804766,1,99.90246887207032,-0.0975311279296875,99.87125854492187,99.93826599121094,67.0074462890625,798,67.65133007369967,72.75618884817125
1777950076.804766,1,100.296484375,0.296484375,100.2612548828125,100.32934265136718,68.0877685546875,1827,68.59411107166332,75.54080086343981
1777950076.804766,1,100.33193359375,0.33193359375,100.33122863769532,100.33309631347656,1.86767578125,10,66.85612506560963,68.07257541785813
1777950077.001962,2,99.8607666015625,-0.1392333984375,99.85791015625,99.8634765625,5.56640625,12,66.69942895665842,68.37831799960735
1777950077.001962,2,99.90505981445312,-0.094940185546875,99.868017578125,99.94081115722656,72.7935791015625,691,67.34251522971239,71.90954122984274
1777950077.001962,2,99.9444091796875,-0.0555908203125,99.94189147949218,99.9429718017578,3.5888671875,4,66.78465311159184,67.45132370290901
1777950077.001962,2,100.26080627441407,0.2608062744140625,100.26000061035157,100.26134643554687,1.3458251953125,5,66.50044450647775,66.78995564509638
1777950077.001962,2,100.29675903320313,0.296759033203125,100.26304931640625,100.33021240234375,67.1630859375,2092,68.55822571903555,76.89850573324479
1777950077.001962,2,100.33294067382812,0.332940673828125,100.33190612792968,100.33438720703126,2.4810791015625,12,66.93866325207907,68.16439488594594
1777950077.156619,3,99.86506042480468,-0.1349395751953125,99.86451110839843,99.8658203125,1.3092041015625,4,67.6837940824498,69.29789000924262
1777950077.156619,3,99.90013427734375,-0.09986572265625,99.86746826171876,99.9288818359375,61.41357421875,975,67.90913743244747,74.53007041663186
